player,team_abbr,minutes,points,rebounds,assists,steals,blocks,team,salary,performance_index,visibility_score,value_index
kiana williams,PHO,107,45,11,10,3,0,Pheonix Mercury,66045,69,55,0.0010447422212128096
alissa pili,TOT,99,43,19,3,2,1,Los Angeles Sparks,66079,68,46,0.0010290712631849757
jaylyn sherrod,TOT,142,30,15,12,11,0,Minnesota Lynx,66079,68,42,0.0010290712631849757
rayah marshall,CON,90,25,26,4,2,3,Connecticut Sun,69267,60,29,0.000866213348347698
anastasiia kosu,MIN,80,35,15,5,1,4,Minnesota Lynx,72547,60,40,0.0008270500503122114
mamignan touré,CON,147,36,7,9,7,0,Connecticut Sun,66079,59,45,0.0008928706548222582
sika koné,TOT,85,27,19,6,0,0,Atlanta Dream,66079,52,33,0.0007869368483179224
tyasha harris,DAL,82,23,5,13,2,2,Dallas Wings,100013,45,36,0.0004499415076040115
elizabeth kitley,LVA,98,15,17,1,4,6,Golden State Valkyries,72547,43,16,0.0005927192027237515
sania feagin,LAS,77,20,11,4,0,6,Los Angeles Sparks,69267,41,24,0.0005919124547042603
mackenzie holmes,SEA,58,10,9,2,5,1,Seattle Storm,66079,27,12,0.00040860182508815207
christyn williams,DAL,45,17,4,3,0,0,Dallas Wings,833,24,20,0.028811524609843937
marquesha davis,TOT,52,10,7,1,0,2,Chicago Sky,66079,20,11,0.00030266801858381637
madison scott,WAS,47,14,1,2,2,0,Washington Mystics,66079,19,16,0.0002875346176546255
taylor thierry,ATL,36,6,6,2,4,0,Atlanta Dream,68084,18,8,0.00026437929616356267
joyner holmes,LVA,29,7,6,0,0,0,Las Vegas Aces,78831,13,7,0.00016490974362877548
crystal bradford,LVA,24,4,5,1,2,0,Las Vegas Aces,66079,12,5,0.0001816008111502898
camryn taylor,MIN,23,3,6,1,0,0,Minnesota Lynx,15898,10,4,0.000629009938357026
bree hall,TOT,17,3,3,0,0,0,Indiana Feverr,66079,6,3,9.08004055751449e-05
ajae petty,DAL,6,0,1,0,0,0,Dallas Wings,1250,1,0,0.0008
kamiah smalls,ATL,3,0,0,0,0,0,Atlanta Dream,58170,0,0,0.0
